,id,orig,dest,all,male,female,a16,a25,a35,a50,a65,home,train,bus,car,pass,bicycle,walk,other
21313,642130,E02001086,E02001089,53,31,22,4,27,17,5,0,0,0,8,27,2,5,10,1
21314,643050,E02001088,E02001094,53,28,25,9,12,17,15,0,0,0,19,29,2,1,2,0
21315,643442,E02001089,E02001097,53,34,19,10,22,11,10,0,0,16,0,35,1,1,0,0
21316,644945,E02001093,E02001066,53,19,34,7,19,18,7,2,0,0,23,23,3,1,1,2
21317,646052,E02001096,E02001260,53,35,18,11,9,22,9,2,0,0,5,42,3,1,1,1
21318,2448483,E02006916,E02001178,53,32,21,8,32,8,5,0,0,2,5,12,2,5,27,0
21319,2448535,E02006916,E02001264,53,31,22,11,27,12,1,2,0,1,24,16,6,3,2,1
21320,630618,E02001055,E02001066,54,13,41,8,16,16,14,0,0,0,19,27,3,2,3,0
21321,631654,E02001059,E02001055,54,40,14,8,12,22,12,0,0,0,5,20,3,9,12,5
21322,638734,E02001078,E02001064,54,26,28,2,18,18,15,1,0,0,16,33,3,1,1,0
21323,638741,E02001078,E02001071,54,27,27,3,14,20,16,1,0,0,8,33,3,2,6,2
21324,639579,E02001080,E02001070,54,26,28,8,14,18,14,0,0,1,6,20,2,4,21,0
21325,642595,E02001087,E02001177,54,20,34,3,26,24,1,0,0,1,1,49,2,1,0,0
21326,644539,E02001091,E02006917,54,20,34,7,15,22,10,0,0,20,8,18,3,1,2,2
21327,644626,E02001092,E02001088,54,16,38,3,11,24,15,1,0,0,10,25,2,2,13,2
21328,644629,E02001092,E02001091,54,22,32,8,21,22,2,1,0,0,4,19,3,4,22,2
21329,645617,E02001095,E02001062,54,19,35,1,7,23,21,2,0,0,15,22,2,2,12,1
21330,646031,E02001096,E02001222,54,12,42,9,6,27,12,0,0,0,8,36,2,0,7,1
21331,2448049,E02006915,E02001062,54,28,26,8,20,14,11,1,0,1,10,28,1,3,8,3
21332,628014,E02001047,E02001049,55,4,51,7,5,20,18,5,0,0,12,12,6,0,23,2
21333,628912,E02001049,E02001184,55,25,30,6,16,23,10,0,0,3,6,37,8,1,0,0
21334,638765,E02001078,E02001095,55,17,38,3,16,19,16,1,0,0,3,50,0,2,0,0
