id,orig,dest,all,male,female,allages,a16,a25,a35,a50,a65,a75,allmodes,home,undergr,train,bus,taxi,bike,car,pass,bicycle,walk,other
627547,E02001045,E02005198,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
627548,E02001045,E02005202,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627549,E02001045,E02005212,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627553,E02001045,E02005267,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
627554,E02001045,E02005269,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627555,E02001045,E02005276,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
627556,E02001045,E02005279,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627557,E02001045,E02005280,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627558,E02001045,E02005281,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627559,E02001045,E02005285,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
627560,E02001045,E02005298,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
627561,E02001045,E02005316,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627562,E02001045,E02005507,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
627563,E02001045,E02005563,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627564,E02001045,E02005702,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
627565,E02001045,E02005762,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
627566,E02001045,E02005785,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627567,E02001045,E02005789,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627568,E02001045,E02005884,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
627569,E02001045,E02005894,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627570,E02001045,E02005984,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627571,E02001045,E02006007,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
627574,E02001045,E02006509,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
627575,E02001045,E02006511,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
627577,E02001045,E02006660,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627578,E02001045,E02006800,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627582,E02001045,E02006884,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627590,E02001045,E02006932,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
627596,E02001045,S02000655,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
627598,E02001045,W02000200,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627599,E02001046,E02000507,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627601,E02001046,E02000534,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
627602,E02001046,E02000559,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627603,E02001046,E02000586,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627604,E02001046,E02000602,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627605,E02001046,E02000679,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627608,E02001046,E02000988,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627609,E02001046,E02000989,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627611,E02001046,E02000997,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627613,E02001046,E02001004,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627615,E02001046,E02001008,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627616,E02001046,E02001010,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627620,E02001046,E02001018,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627621,E02001046,E02001019,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627626,E02001046,E02001028,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627639,E02001046,E02001043,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
627670,E02001046,E02001077,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
627676,E02001046,E02001084,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
